"Korea, Democratic People's Republic of",PRK,"Korea, Democratic People's Republic of",,Kenya
"Korea, Republic of",KOR,"Korea, Republic of",,Korea
Kosovo,KSV,Kosovo,,Korea North
Kuwait,KWT,Kuwait,,Korea South
Kyrgyzstan,KGZ,Kyrgyz Republic,,Kosovo
Laos,LAO,"Laos, People's Democratic Republic",,Kuwait
Latvia,LVA,Latvia,,Kyrgyzstan
Lebanon,LBN,Lebanon,,Laos
Lesotho,LSO,Lesotho,,Latvia
Liberia,LBR,Liberia,,Lebanon
Libya,LBY,Libya,,Lesotho
Lithuania,LTU,Lithuania,,Liberia
Luxembourg,LUX,Luxembourg,,Libya
Macedonia,MKD,"Macedonia, Former Yugoslav Republic of",,Lithuania
Madagascar,MDG,Madagascar,,Luxembourg
Malawi,MWI,Malawi,,Macedonia
Malaysia,MYS,Malaysia,,Madagascar
Maldives,MDV,Maldives,,Malawi
Mali,MLI,Mali,,Malaysia
Malta,MLT,Malta,,Mali
Mauritania,MRT,Mauritania,,Mauritania
Mauritius,MUS,Mauritius,,Mauritius
Mexico,MEX,Mexico,,Mexico
"Micronesia, Fed. Sts.",FSM,"Micronesia, Fed. Sts.",,Modena
Moldova,MDA,Moldova,,Moldova
Mongolia,MON,Mongolia,,Mongolia
Montenegro,MNG,Montenegro,,Montenegro
Morocco,MAR,Morocco,,Morocco
Mozambique,MOZ,Mozambique,,Mozambique
Myanmar (Burma),MMR,Myanmar,,Myanmar (Burma)
Namibia,NAM,Namibia,,Namibia
Nepal,NPL,Nepal,,Nepal
Netherlands,NLD,Netherlands,,Netherlands
New Zealand,NZL,New Zealand,,New Zealand
Nicaragua,NIC,Nicaragua,,Nicaragua
Niger,NER,Niger,,Niger
Nigeria,NGA,Nigeria,,Nigeria
Norway,NOR,Norway,,Norway
Oman,OMN,Oman,,Oman
Pakistan,PAK,Pakistan,,Orange Free State
Palestine,PSE,Palestine,,Pakistan
Panama,PAN,Panama,,Panama
Papua New Guinea,PNG,Papua New Guinea,,Papal States
Paraguay,PRY,Paraguay,,Papua New Guinea
Peru,PER,Peru,,Paraguay
Philippines,PHL,Philippines,,Parma
Poland,POL,Poland,,Peru
Portugal,PRT,Portugal,,Philippines
Puerto Rico,PRI,Puerto Rico,,Poland
Qatar,QAT,Qatar,,Portugal
Romania,ROM,Romania,,Prussia
Russia,RUS,Russian Federation,,Qatar
Rwanda,RWA,Rwanda,,Romania
Samoa,WSM,Samoa,,Russia
Sao Tome and Principe,STP,Sao Tome and Principe,,Rwanda
Saudi Arabia,SAU,Saudi Arabia,,Sardinia
Senegal,SEN,Senegal,,Saudi Arabia
Serbia,SRB,Serbia,,Saxony
Seychelles,SYC,Seychelles,,Senegal
Sierra Leone,SLE,Sierra Leone,,Serbia
Singapore,SGP,Singapore,,Serbia and Montenegro
Slovak Republic,SVK,Slovak Republic,,Sierra Leone
Slovenia,SVN,Slovenia,,Singapore
Solomon Islands,SLB,Solomon Islands,,Slovak Republic
Somalia,SOM,Somalia,,Slovenia
South Africa,ZAF,South Africa,,Solomon Islands
Spain,ESP,Spain,,Somalia
Sri Lanka,LKA,Sri Lanka,,South Africa
St. Lucia,LCA,St. Lucia,,South Sudan
St. Vincent and the Grenadines,VCT,St. Vincent and the Grenadines,,Spain
Sudan,SDN,Sudan,,Sri Lanka
South Sudan,SSD,Sudan South,,Sudan
Suriname,SUR,Suriname,,Sudan-North
Swaziland,SWZ,Swaziland,,Suriname
Sweden,SWE,Sweden,,Swaziland
Switzerland,CHE,Switzerland,,Sweden
Syria,SYR,Syrian Arab Republic,,Switzerland
Taiwan,TWN,"Taiwan, China",,Syria
Tajikistan,TJK,Tajikistan,,Taiwan
Tanzania,TZA,Tanzania,,Tajikistan
Thailand,THA,Thailand,,Tanzania
Timor Leste,TMP,Timor-Leste,,Thailand
Togo,TGO,Togo,,Timor Leste
Tonga,TON,Tonga,,Togo
Trinidad and Tobago,TTO,Trinidad and Tobago,,Trinidad and Tobago
Tunisia,TUN,Tunisia,,Tunisia
Turkey,TUR,Turkey,,Turkey
Turkmenistan,TKM,Turkmenistan,,Turkmenistan
Uganda,UGA,Uganda,,Tuscany
Ukraine,UKR,Ukraine,,Two Sicilies
UAE,ARE,United Arab Emirates,,UAE
United Kingdom,GBR,United Kingdom,,Uganda
United States,USA,United States,,Ukraine
Uruguay,URY,Uruguay,,United Kingdom
Uzbekistan,UZB,Uzbekistan,,United Province CA
Vanuatu,VUT,Vanuatu,,United States
Venezuela,VEN,Venezuela,,Uruguay
Vietnam,VNM,Vietnam,,USSR
"Yemen, Republic of",YEM,"Yemen, Republic of",,Uzbekistan
Zambia,ZMB,Zambia,,Venezuela
Zimbabwe,ZWE,Zimbabwe,,Vietnam
,,,,Vietnam North
,,,,Vietnam South
,,,,Wuerttemburg
,,,,Yemen
,,,,Yemen North
,,,,Yemen South
,,,,Yugoslavia
,,,,Zambia
,,,,Zimbabwe
,,,,Grand Total
